Genes	Left-End-Position	Right-End-Position	Direction	Product
coaA	4174076	4175026	-	pantothenate kinase
coaD	3809825	3810304	+	pantetheine-phosphate adenylyltransferase
coaE	112599	113219	-	dephospho-CoA kinase
cobB	1179520	1180359	+	CobB-S // protein-lysine deacetylase/desuccinylase/lipoamidase
cobC	669296	669907	-	putative adenosylcobalamin phosphatase/&alpha;-ribazole phosphatase
cobS	2064479	2065222	-	cobalamin 5'-phosphate synthase
cobT	2063388	2064467	-	nicotinate-nucleotide&mdash;dimethylbenzimidazole phosphoribosyltransferase
cobU	2065219	2065764	-	cobinamide-P guanylyltransferase / cobinamide kinase
codA	356171	357454	+	cytosine/isoguanine deaminase
codB	354922	356181	+	cytosine transporter
cof	467412	468230	+	HMP-PP phosphatase
comR	1168200	1168832	-	DNA-binding transcriptional repressor ComR
copA	508875	511379	-	soluble Cu<sup>+</sup> chaperone // Cu<sup>+</sup> exporting P-type ATPase
corA	4001426	4002376	+	Ni<sup>2+</sup>/Co<sup>2+</sup>/Mg<sup>2+</sup> transporter
cpdA	3176006	3176833	-	cAMP phosphodiesterase
cpdB	4434622	4436565	-	2'3' cyclic nucleotide phosphodiesterase/3' nucleotidase
cpoB	779598	780389	+	cell division coordinator CpoB
cpsB	2123084	2124520	-	mannose-1-phosphate guanylyltransferase
cpsG	2121609	2122979	-	phosphomannomutase
cpxA	4103602	4104975	-	CpxA-<i>N</i>-phospho-L-histidine // sensor histidine kinase CpxA
cpxP	4105820	4106320	+	periplasmic protein CpxP
cpxQ	4106330	4106387	+	small regulatory RNA CpxQ
cpxR	4104972	4105670	-	Phosphorylated DNA-binding transcriptional dual regulator CpxR // DNA-binding transcriptional dual regulator CpxR
cra	88028	89032	+	DNA-binding transcriptional dual regulator Cra
crcB	657555	657938	-	F<sup>-</sup> channel
creA	4635521	4635994	+	PF05981 family protein CreA
creB	4636007	4636696	+	Phosphorylated DNA-binding transcriptional regulator CreB // DNA-binding transcriptional regulator CreB
creC	4636696	4638120	+	sensory histidine kinase CreC
creD	4638178	4639530	+	putative inner membrane protein CreD
crl			+	RNA polymerase holoenzyme assembly factor Crl
crp	3486120	3486752	+	DNA-binding transcriptional dual regulator CRP
crr	2535834	2536343	+	Enzyme IIA<sup>Glc</sup>
csdA	2943337	2944542	+	cysteine sulfinate desulfinase
csdE	2944542	2944985	+	sulfur acceptor protein CsdE
csgA	1104447	1104902	+	curlin, major subunit
csgB	1103951	1104406	+	curlin, minor subunit
csgC	1104961	1105293	+	curlin chaperone
csgD	1102546	1103196	-	DNA-binding transcriptional dual regulator CsgD
csgE	1102152	1102541	-	curli assembly component CsgE
csgF	1101711	1102127	-	curli assembly component CsgF
csgG	1100851	1101684	-	curli secretion channel
csiE	2665435	2666715	+	stationary phase inducible protein CsiE
cspA	3720049	3720261	+	cold shock protein CspA
cspB	1641339	1641554	-	Qin prophage; cold shock-like protein CspB
cspC	1907226	1907435	-	stress protein, member of the CspA family
cspD	922366	922590	-	DNA replication inhibitor CspD
cspE	657292	657501	+	transcription antiterminator and regulator of RNA stability
cspF	1641855	1642067	+	Qin prophage; cold shock protein CspF
cspG	1051461	1051673	+	cold shock protein CspG
cspH	1050963	1051175	-	CspA family protein CspH
cspI	1638455	1638667	-	Qin prophage; cold shock protein CspI
csqR	4074669	4075454	+	DNA-binding transcriptional dual regulator CsqR
csrA	2818961	2819146	-	carbon storage regulator
csrB	2924156	2924524	-	small regulatory RNA CsrB
csrC	4051036	4051281	+	small regulatory RNA CsrC
csrD	3401392	3403332	-	regulator of CsrB and CsrC decay
cstA	629894	631999	+	carbon starvation protein A
cueO	137083	138633	+	multicopper oxidase CueO
cueR	513993	514400	+	DNA-binding transcriptional dual regulator CueR
curA	1519027	1520064	+	NADPH-dependent curcumin/dihydrocurcumin reductase
cusA	598714	601857	+	copper/silver export system RND permease
cusB	597479	598702	+	copper/silver export system membrane fusion protein
cusC	595600	596973	+	copper/silver export system outer membrane channel
cusF	597131	597463	+	copper/silver export system periplasmic binding protein
cusR	594760	595443	-	P<SUP>asp</SUP> DNA-binding transcriptional activator CusR // DNA-binding transcriptional activator CusR
cusS	593328	594770	-	CusS-<i>N</i>-phospho-L-histidine // sensor histidine kinase CusS
cutA	4365018	4365356	-	copper binding protein CutA
cutC	1958520	1959266	-	protein CutC
cvpA	2430275	2430763	-	colicin V production protein
cvrA	1240335	1242071	-	putative K<sup>+</sup>:H<sup>+</sup> antiporter
cyaA	3991153	3993699	+	adenylate cyclase
cyaR	2167114	2167200	+	small regulatory RNA CyaR
cyaY	3993739	3994059	-	frataxin CyaY
cybB	1490902	1491432	+	superoxide oxidase
cycA	4429864	4431276	+	D-serine/alanine/glycine/:H<sup>+</sup>symporter
cydA	771458	773026	+	cytochrome <i>bd</i>-I ubiquinol oxidase subunit I
cydB	773042	774181	+	cytochrome <i>bd</i>-I ubiquinol oxidase subunit II
cydC	927474	929195	-	glutathione/L-cysteine ABC exporter subunit CydC
cydD	929196	930962	-	glutathione/L-cysteine ABC exporter subunit CydD
cydH	1737456	1737545	-	cytochrome <i>bd</i>-I ubiquinol oxidase accessory subunit CydH
cydX	774196	774309	+	cytochrome <i>bd</i>-I ubiquinol oxidase accessory subunit CydX
cynR	357791	358690	-	DNA-binding transcriptional dual regulator CynR
cynS	359489	359959	+	cyanase
cynT	358799	359458	+	carbonic anhydrase 1
cynX	359992	361146	+	cyanate transporter
cyoA	450663	451610	-	cytochrome <i>bo</i><sub>3</sub> ubiquinol oxidase subunit 2
cyoB	448650	450641	-	cytochrome <i>bo</i><sub>3</sub> ubiquinol oxidase subunit 1
cyoC	448046	448660	-	cytochrome <i>bo</i><sub>3</sub> ubiquinol oxidase subunit 3
cyoD	447717	448046	-	cytochrome <i>bo</i><sub>3</sub> ubiquinol oxidase subunit 4
cyoE	446815	447705	-	heme O synthase
cysA	2539717	2540814	-	sulfate/thiosulfate ABC transporter ATP binding subunit
cysB	1333855	1334829	+	DNA-binding transcriptional dual regulator CysB
cysC	2873387	2873992	-	adenylyl-sulfate kinase
cysD	2875421	2876329	-	sulfate adenylyltransferase subunit 2
cysE	3781741	3782562	-	serine acetyltransferase
cysG	3497828	3499201	+	siroheme synthase
cysH	2887578	2888312	-	phosphoadenosine phosphosulfate reductase
cysI	2888387	2890099	-	sulfite reductase, hemoprotein subunit
cysJ	2890099	2891898	-	sulfite reductase, flavoprotein subunit
cysK	2532409	2533380	+	cysteine synthase A
cysM	2538672	2539583	-	cysteine synthase B
cysN	2873992	2875419	-	sulfate adenylyltransferase subunit 1
cysP	2542512	2543528	-	thiosulfate/sulfate ABC transporter periplasmic binding protein CysP
cysQ	4436755	4437495	+	3'(2'),5'-bisphosphate nucleotidase
cysS	554611	555996	+	cysteine&mdash;tRNA ligase
cysT	1991914	1991987	-	tRNA-Cys(GCA)
cysU	2541679	2542512	-	sulfate/thiosulfate ABC transporter inner membrane subunit CysU
cysW	2540804	2541679	-	sulfate/thiosulfate ABC transporter inner membrane subunit CysW
cysZ	2531463	2532224	+	sulfate:H+ symporter
cytR	4123431	4124456	-	DNA-binding transcriptional repressor CytR
cyuA	3255341	3256651	-	putative L-cysteine desulfidase CyuA
cyuP	3256679	3258010	-	cysteine detoxification protein CyuP
dacA	662752	663963	-	D-alanyl-D-alanine carboxypeptidase DacA
dacB	3328963	3330396	+	peptidoglycan DD-endopeptidase DacB
dacC	880727	881929	+	D-alanyl-D-alanine carboxypeptidase DacC
dacD	2081381	2082547	-	D-alanyl-D-alanine carboxypeptidase DacD
dadA	1237571	1238869	+	D-amino acid dehydrogenase
dadX	1238879	1239949	+	alanine racemase 2
dam	3515077	3515913	-	DNA adenine methyltransferase
damX	3516020	3517306	-	cell division protein DamX
dapA	2598882	2599760	-	4-hydroxy-tetrahydrodipicolinate synthase
dapB	28374	29195	+	4-hydroxy-tetrahydrodipicolinate reductase
dapD	185123	185947	-	tetrahydrodipicolinate succinylase
dapE	2591607	2592734	+	succinyl-diaminopimelate desuccinylase
dapF	3994762	3995586	+	diaminopimelate epimerase
dauA	1259124	1260803	-	aerobic C4-dicarboxylate transporter DauA
dbpA	1409511	1410884	+	ATP-dependent RNA helicase DbpA
dcd	2141634	2142215	-	dCTP deaminase
dcm	2030899	2032317	-	DNA-cytosine methyltransferase
dcp	1625335	1627380	-	peptidyl-dipeptidase Dcp
dcrB	3609955	3610512	+	periplasmic bacteriophage sensitivity protein DcrB
dctA	3682161	3683447	-	C4 dicarboxylate/orotate:H<sup>+</sup> symporter
dctR	3654683	3655213	+	putative DNA-binding transcriptional regulator DctR
dcuA	4365472	4366773	-	C4-dicarboxylate transporter DcuA
dcuB	4347404	4348744	-	anaerobic C4-dicarboxylate transporter DcuB
dcuC	654583	655968	-	anaerobic C4-dicarboxylate transporter DcuC
dcuD	3374869	3376236	+	putative transporter DcuD
dcuR	4349315	4350034	-	DcuR // DNA-binding transcriptional activator DcuR
dcuS	4350031	4351662	-	DcuS-<i>N</i>-phospho-L-histidine // sensor histidine kinase DcuS
dcyD	1998494	1999480	-	D-cysteine desulfhydrase
ddlA	399829	400923	-	D-alanine&mdash;D-alanine ligase A
ddlB	102233	103153	+	D-alanine&mdash;D-alanine ligase B
ddpA	1560931	1562481	-	putative D,D-dipeptide ABC transporter periplasmic binding protein
ddpB	1559907	1560929	-	putative D,D-dipeptide ABC transporter membrane subunit DdpB
ddpC	1559014	1559910	-	putative D,D-dipeptide ABC transporter membrane subunit DdpC
ddpD	1558031	1559017	-	putative D,D-dipeptide ABC transporter ATP-binding subunit DdpD
ddpF	1557112	1558038	-	putative D,D-dipeptide ABC transporter ATP-binding subunit DdpF
ddpX	1562495	1563076	-	D-alanyl-D-alanine dipeptidase
deaD	3305971	3307860	-	ATP-dependent RNA helicase DeaD
decR	468383	468841	+	DNA-binding transcriptional activator DecR
dedA	2434082	2434741	-	DedA family protein DedA
dedD	2431022	2431684	-	cell division protein DedD
def	3433690	3434199	+	peptide deformylase
degP	180884	182308	+	periplasmic serine endoprotease DegP
degQ	3380743	3382110	+	periplasmic serine endoprotease
degS	3382200	3383267	+	serine endoprotease
deoA	4618229	4619551	+	thymidine phosphorylase
deoB	4619603	4620826	+	phosphopentomutase
deoC	4617323	4618102	+	deoxyribose-phosphate aldolase
deoD	4620883	4621602	+	purine nucleoside phosphorylase
deoR	881976	882734	-	DNA-binding transcriptional repressor DeoR
der	2635884	2637356	-	50S ribosomal subunit stability factor
dfp	3812731	3813951	+	fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase
dgcC	403703	404818	+	diguanylate cyclase DgcC
dgcE	2143266	2146583	+	putative diguanylate cyclase DgcE
dgcF	1610907	1611854	-	putative diguanylate cyclase DgcF
dgcI	875335	876663	+	putative diguanylate cyclase DgcI
dgcJ	1872041	1873531	+	putative diguanylate cyclase DgcJ
dgcM	1406563	1407795	-	diguanylate cyclase DgcM
dgcN	2742383	2743609	+	diguanylate cyclase DgcN
dgcP	1877715	1878740	+	diguanylate cyclase DgcP
dgcQ	2026323	2028017	-	putative diguanylate cyclase DgcQ
dgcT	1092876	1094234	+	probable diguanylate cyclase DgcT
dgcZ	1622960	1623850	-	diguanylate cyclase DgcZ
dgd				D-galactose 1-dehydrogenase
dgkA	4256637	4257005	+	diacylglycerol kinase
dgoA	3872995	3873612	-	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
dgoD	3871850	3872998	-	D-galactonate dehydratase
dgoK	3873596	3874474	-	2-dehydro-3-deoxygalactonokinase
dgoR	3874471	3875160	-	DNA-binding transcriptional regulator DgoR
dgoT	3870438	3871730	-	D-galactonate:H<sup>+</sup> symporter
dgt	179237	180754	+	dGTP triphosphohydrolase
dhaK	1249768	1250838	-	dihydroxyacetone kinase subunit K
dhaL	1249125	1249757	-	dihydroxyacetone kinase subunit L
dhaM	1247696	1249114	-	dihydroxyacetone kinase subunit M
dhaR	1251066	1252985	+	DNA-binding transcriptional dual regulator DhaR
diaA	3295809	3296399	+	DnaA initiator-associating factor for replication initiation
dicA	1647934	1648341	+	DNA-binding transcriptional dual regulator DicA
dicB	1649609	1649797	+	Qin prophage; cell division inhibition protein DicB
dicC	1647620	1647850	-	Qin prophage; DNA-binding transcriptional regulator for DicB
dicF	1649382	1649434	+	Qin prophage; small regulatory RNA DicF
digH	1567504	1568823	-	divisome localized glycosyl hydrolase
dinB	250898	251953	+	DNA polymerase IV
dinD	3817760	3818584	+	DNA damage-inducible protein D
dinF	4257742	4259121	+	DNA damage-inducible protein F
dinG	833070	835220	+	ATP-dependent DNA helicase DinG
dinI	1121242	1121487	-	DNA damage-inducible protein I
dinJ	246242	246502	-	antitoxin/DNA-binding transcriptional repressor DinJ
dinQ	3647705	3647788	-	membrane toxin DinQ
djlA	57364	58179	+	co-chaperone protein DjlA
djlB	677415	678842	+	J domain-containing protein DjlB
djlC	680212	681663	+	co-chaperone DjlC
dkgA	3156623	3157450	+	methylglyoxal reductase DkgA
dkgB	229167	229970	+	methylglyoxal reductase DkgB
dksA	160149	160604	-	RNA polymerase-binding transcription factor DksA
dld	2222185	2223900	+	quinone-dependent D-lactate dehydrogenase
dmlA	1881912	1882997	+	D-malate/3-isopropylmalate dehydrogenase (decarboxylating)
dmlR	1880886	1881809	-	DNA-binding transcriptional regulator DmlR
dmsA	940959	943403	+	dimethyl sulfoxide reductase subunit A
dmsB	943414	944031	+	dimethyl sulfoxide reductase subunit B
dmsC	944033	944896	+	dimethyl sulfoxide reductase subunit C
dmsD	1664506	1665120	+	redox enzyme maturation protein DmsD
dnaA	3882326	3883729	-	chromosomal replication initiator protein DnaA
dnaB	4264314	4265729	+	replicative DNA helicase
dnaC	4600238	4600975	-	DNA replication protein DnaC
dnaE	205126	208608	+	DNA polymerase III subunit &alpha;
dnaG	3211107	3212852	+	DNA primase
dnaJ	14168	15298	+	chaperone protein DnaJ
dnaK	12163	14079	+	chaperone protein DnaK
dnaN	3881221	3882321	-	&beta; sliding clamp
dnaQ	236067	236798	+	DNA polymerase III subunit &epsilon;
dnaT	4600978	4601517	-	primosomal protein DnaT
dnaX	492092	494023	+	DNA polymerase III subunit &gamma; // DNA polymerase III subunit &tau;
dosC	1565758	1567140	-	diguanylate cyclase DosC
dosP	1563334	1565733	-	oxygen-sensing c-di-GMP phosphodiesterase DosP
dpiA	653862	654542	+	P<sup>asp</sup> DNA-binding transcriptional dual regulator DpiA // DNA-binding transcriptional dual regulator DpiA
dpiB	652235	653893	+	DpiB-<i>N</i>-phospho-L-histidine // sensor histidine kinase DpiB
dppA	3706098	3707705	-	dipeptide ABC transporter periplasmic binding protein
dppB	3704771	3705790	-	dipeptide ABC transporter membrane subunit DppB
dppC	3703859	3704761	-	dipeptide ABC transporter membrane subunit DppC
dppD	3702865	3703848	-	dipeptide ABC transporter ATP binding subunit DppD
dppF	3701864	3702868	-	dipeptide ABC transporter ATP binding subunit DppF
dps	848408	848911	-	DNA protection during starvation protein
dsbA	4043418	4044044	+	thiol:disulfide oxidoreductase - DsbA<sub>reduced</sub> // thiol:disulfide oxidoreductase - DsbA<sub>oxidized</sub> // thiol:disulfide oxidoreductase DsbA
dsbB	1232500	1233030	-	protein thiol:quinone oxidoreductase DsbB<sub>reduced</sub> // protein thiol:quinone oxidoreductase DsbB<sub>oxidized</sub> // protein thiol:quinone oxidoreductase DsbB
dsbC	3038112	3038822	-	protein disulfide isomerase DsbC
dsbD	4363345	4365042	-	thiol-disulfide exchange protein DsbD
dsbG	637827	638573	-	protein sulfenic acid reductase and chaperone DsbG
dsdA	2479202	2480530	+	D-serine ammonia-lyase
dsdC	2476694	2477629	-	DNA-binding transcriptional dual regulator DsdC
dsdX	2477847	2479184	+	D-serine transporter
dsrA	2025223	2025313	-	small regulatory RNA DsrA
dsrB	2024635	2024823	-	protein DsrB
dtd	4077015	4077452	+	D-aminoacyl-tRNA deacylase
dtpA	1712769	1714271	+	dipeptide/tripeptide:H<sup>+</sup> symporter DtpA
dtpB	3640862	3642331	+	dipeptide/tripeptide:H<sup>+</sup> symporter DtpB
dtpC	4354954	4356411	-	dipeptide/tripeptide:H<sup>+</sup> symporter DtpC
dtpD	741075	742556	-	dipeptide:H<sup>+</sup> symporter DtpD
dusA	4261669	4262706	+	tRNA-dihydrouridine synthase A
dusB	3410280	3411245	+	tRNA-dihydrouridine synthase B
dusC	2229438	2230385	-	tRNA-dihydrouridine<sup>16</sup> synthase
dut	3813929	3814387	+	dUTP diphosphatase
dxr	193521	194717	+	1-deoxy-D-xylulose 5-phosphate reductoisomerase
dxs	438315	440177	-	1-deoxy-D-xylulose-5-phosphate synthase
eamA	1620238	1621137	-	cysteine/<i>O</i>-acetylserine exporter EamA
eamB	2715423	2716010	+	cysteine/<i>O</i>-acetylserine exporter EamB
ebgA	3222633	3225725	+	evolved &beta;-D-galactosidase subunit &alpha;
ebgC	3225722	3226171	+	DUF386 domain-containing evolved &beta;-D-galactosidase subunit &beta;
ebgR	3221466	3222449	+	DNA-binding transcriptional repressor EbgR
ecnA	4376317	4376442	+	entericidin A lipoprotein, antidote to entericidin B
ecnB	4376553	4376699	+	bacteriolytic entericidin B lipoprotein
eco	2303905	2304393	+	serine protease inhibitor ecotin
ecpA	310084	310671	-	common pilus major subunit
ecpB	309358	310026	-	putative fimbrial chaperone EcpB
ecpC	306807	309332	-	putative fimbrial usher protein EcpC
ecpD	305174	306817	-	fimbrial adhesin EcpD
ecpE	304495	305205	-	putative fimbrial chaperone EcpE
ecpR	310746	311336	-	DNA-binding transcriptional dual regulator MatA
eda	1932115	1932756	-	KHG/KDPG aldolase
edd	1932793	1934604	-	phosphogluconate dehydratase
efeB	1083376	1084647	+	heme-containing peroxidase/deferrochelatase
efeO	1082243	1083370	+	ferrous iron transport system protein EfeO
efp	4375699	4376265	+	protein chain elongation factor EF-P, &beta;-lysyl-Lys34 // protein chain elongation factor EF-P
elaA	2381082	2381543	-	putative <i>N</i>-acetyltransferase ElaA
elaB	2380722	2381027	-	tail-anchored inner membrane protein ElaB
elaD	2382713	2383924	+	protease ElaD
elbB	3349806	3350459	-	low activity glyoxalase ElbB
elfA	997868	998407	+	putative laminin-binding fimbrial subunit
elfC	999216	1001816	+	putative fimbrial usher protein ElfC
elfD	998490	999191	+	putative fimbrial chaperone ElfD
elfG	1001807	1002877	+	putative fimbrial-like adhesin protein
elyC	972622	973401	-	envelope biogenesis factor
emrA	2811427	2812599	+	multidrug efflux pump membrane fusion protein EmrA
emrB	2812616	2814154	+	multidrug efflux pump membrane subunit EmrB
emrD	3853922	3855106	+	multidrug efflux pump EmrD
emrE	568315	568647	+	DLP12 prophage; multidrug/betaine/choline efflux transporter EmrE
emrK	2482176	2483339	-	tripartite efflux pump membrane fusion protein EmrK
emrY	2480638	2482176	-	tripartite efflux pump membrane subunit EmrY
emtA	1243180	1243791	+	lytic murein transglycosylase E
endA	3090347	3091054	+	DNA-specific endonuclease I
eno	2906643	2907941	-	enolase
entA	628551	629297	+	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entB	627694	628551	+	<i>holo</i> EntB // enterobactin synthase component B
entC	624885	626060	+	isochorismate synthase EntC
entD	609459	610079	-	phosphopantetheinyl transferase EntD
entE	626070	627680	+	2,3-dihydroxybenzoate-AMP ligase
entF	614157	618038	+	seryl-[EntF peptidyl-carrier protein] // <i>holo</i> [EntF peptidyl-carrier protein] // apo-serine activating enzyme
entH	629300	629713	+	proofreading thioesterase in enterobactin biosynthesis
entS	622300	623550	+	enterobactin exporter EntS
envC	3786838	3788097	+	murein hydrolase activator EnvC
envR	3412803	3413465	-	DNA-binding transcriptional repressor EnvR
envY	586147	586908	-	DNA-binding transcriptional activator EnvY
envZ	3534516	3535868	-	sensor histidine kinase EnvZ
epd	3072672	3073691	-	D-erythrose-4-phosphate dehydrogenase
epmA	4382643	4383620	+	EF-P-lysine lysyltransferase
epmB	4374629	4375657	-	lysine 2,3-aminomutase
